developer,id,release_date,title,Action,Adventure,Casual,Education,Indie,RPG,Racing,Simulation,Sports,Strategy,year
Eugen Systems,9760,2006-05-30,Act of War: High Treason,1,0,0,0,0,0,0,0,0,0,2006
"Frontier,Aspyr (Mac)",2700,2006-10-26,RollerCoaster Tycoon® 3: Platinum,0,0,0,0,0,0,0,1,0,1,2006
Eugen Systems,2710,2005-03-14,Act of War: Direct Action,1,0,0,0,0,0,0,0,0,0,2005
"Epic Games, Inc.",13200,2003-02-03,Unreal 2: The Awakening,1,0,0,0,0,0,0,0,0,0,2003
"Epic Games, Inc.",13250,1998-04-30,Unreal Gold,1,0,0,0,0,0,0,0,0,0,1998
Sanzaru Games,13000,2008-03-21,Ninja Reflex: Steamworks Edition,0,0,1,0,1,0,0,0,0,0,2008
Ubisoft,13560,2003-02-18,Tom Clancy's Splinter Cell®,1,0,0,0,0,0,0,0,0,0,2003
Crytek Studios,13520,2004-03-23,Far Cry®,1,0,0,0,0,0,0,0,0,0,2004
"Epic Games, Inc.",13240,2000-10-25,Unreal Tournament: Game of the Year Edition,1,0,0,0,0,0,0,0,0,0,2000
Ubisoft Montreal,13540,2006-12-12,Tom Clancy's Rainbow Six® Vegas,1,0,0,0,0,0,0,0,0,0,2006
Ubisoft,15210,2005-03-15,Silent Hunter® III,0,0,0,0,0,0,0,1,0,0,2005
Last Day of Work,16180,2008-05-28,Virtual Villagers - The Secret City,0,0,1,0,0,0,0,1,0,0,2008
SpinTop Games,3520,2008-06-04,Mystery P.I.™ - The Vegas Heist,0,0,1,0,0,0,0,0,0,0,2008
MumboJumbo,15970,2008-06-10,Luxor,0,0,1,0,0,0,0,0,0,0,2008
MumboJumbo,15950,2008-06-10,Reaxxion,0,0,1,0,0,0,0,0,0,0,2008
MumboJumbo,15960,2008-06-10,Little Farm,0,0,1,0,0,0,0,0,0,0,2008
MumboJumbo,15900,2008-06-10,7 Wonders II,0,0,1,0,0,0,0,0,0,0,2008
MumboJumbo,15910,2005-12-08,Luxor Amun Rising,0,0,1,0,0,0,0,0,0,0,2005
MumboJumbo,15930,2007-11-13,Luxor 3,0,0,1,0,0,0,0,0,0,0,2007
Ubisoft,15160,2007-11-13,Petz® Horsez® 2,0,0,0,0,0,0,0,1,0,0,2007
MumboJumbo,15920,2005-12-08,Luxor 2,0,0,1,0,0,0,0,0,0,0,2005
"Ubisoft Bulgaria,Ubisoft Montpellier",15080,2007-03-27,Rayman Raving Rabbids™,1,1,0,0,0,0,0,0,0,0,2007
Ubisoft Romania,15200,2007-03-20,Silent Hunter®: Wolves of the Pacific,0,0,0,0,0,0,0,1,0,0,2007
1C: Maddox Games,15320,2006-12-15,IL-2 Sturmovik: 1946,0,0,0,0,0,0,0,1,0,0,2006
Ubisoft Romania,15240,2008-03-24,Silent Hunter®: Wolves of the Pacific U-Boat Missions,0,0,0,0,0,0,0,1,0,0,2008
Telltale Games,8310,2005-09-15,Bone: Out From Boneville,0,1,0,0,0,0,0,0,0,0,2005
"Merscom,Babylon",12600,2005-07-02,Midnight Outlaw: 6 Hours to SunUp,0,0,0,0,0,0,1,0,0,0,2005
Telltale Games,8320,2006-04-12,Bone: The Great Cow Race,0,1,0,0,0,0,0,0,0,0,2006
BigAnt Studios,12590,2008-07-29,Sprint Cars Road to Knoxville,0,0,0,0,0,0,1,0,0,0,2008
Gabriel Entertainment,12560,2007-07-02,Ride! Carnival Tycoon,0,0,0,0,0,0,0,1,0,0,2007
Zemnott,12540,2007-08-08,Mahjongg Investigations: Under Suspicion,0,0,1,0,0,0,0,0,0,0,2007
Frogwares,11050,2008-05-20,Dracula Origin,0,1,0,0,0,0,0,0,0,0,2008
Eurocom,10520,2008-07-08,Beijing 2008™ - The Official Video Game of the Olympic Games,0,0,0,0,0,0,0,0,1,0,2008
Frogwares,11040,2008-04-14,Sherlock Holmes - Nemesis,0,1,0,0,0,1,0,0,0,0,2008
"Luc Bernard,SilverSphereStudios",19500,2008-07-31,Eternity's Child,0,1,0,0,1,0,0,0,0,0,2008
Lesta Studio,11260,2007-05-25,Pacific Storm Allies,0,0,0,0,0,0,0,1,0,1,2007
Dialogue Design,19200,2008-08-21,Tank Universal,1,0,0,0,1,0,0,0,0,0,2008
Bugbear Entertainment,12360,2008-08-19,FlatOut: Ultimate Carnage,0,0,0,0,0,0,1,0,0,0,2008
Oddworld Inhabitants,15710,1998-11-17,Oddworld: Abe's Exoddus®,0,1,0,0,0,0,0,0,0,0,1998
Oddworld Inhabitants,15700,1997-12-12,Oddworld: Abe's Oddysee®,0,1,0,0,0,0,0,0,0,0,1997
SimBin,8660,2008-09-01,GTR Evolution Expansion Pack for RACE 07,0,0,0,0,0,0,1,0,0,0,2008
"MicroProse Software, Inc",7770,2001-04-19,X-COM: Enforcer,0,0,0,0,0,0,0,0,0,1,2001
"MicroProse Software, Inc",7660,1997-07-15,X-COM: Apocalypse,0,0,0,0,0,0,0,0,0,1,1997
"MicroProse Software, Inc",7760,1993-12-31,X-COM: UFO Defense,0,0,0,0,0,0,0,0,0,1,1993
GSC Game World,20510,2008-09-15,S.T.A.L.K.E.R.: Clear Sky,1,0,0,0,0,1,0,0,0,0,2008
Crytek,17330,2008-09-17,Crysis Warhead®,1,0,0,0,0,0,0,0,0,0,2008
Crytek,17300,2007-11-13,Crysis,1,0,0,0,0,0,0,0,0,0,2007
"MicroProse Software, Inc",7730,1998-06-15,X-COM: Interceptor,0,0,0,0,0,0,0,0,0,1,1998
CD PROJEKT RED,20900,2008-09-16,The Witcher: Enhanced Edition Director's Cut,1,0,0,0,0,1,0,0,0,0,2008
Introversion Software,1530,2008-09-19,Multiwinia,0,0,0,0,1,0,0,0,0,0,2008
SimBin,8690,2008-10-22,STCC - The Game 1 - Expansion Pack for RACE 07,0,0,0,0,0,0,1,0,0,0,2008
"Tilted Mill Entertainment, Inc.",17120,2008-08-28,Children of the Nile: Alexandria,0,0,0,0,0,0,0,1,0,1,2008
Firaxis Games,16810,2008-09-23,Sid Meier's Civilization IV: Colonization,0,0,0,0,0,0,0,0,0,1,2008
"Red Storm Entertainment,Ubisoft Montreal",19830,2003-03-18,Tom Clancy's Rainbow Six® 3 Gold,1,0,0,0,0,0,0,0,0,0,2003
Traveller's Tales,21000,2008-09-29,LEGO Batman,1,1,0,0,0,0,0,0,0,0,2008
Monte Cristo,4460,2008-07-18,City Life 2008,0,0,0,0,0,0,0,1,0,1,2008
"Tilted Mill Entertainment, Inc.",17140,2008-09-30,Hinterland,0,0,0,0,0,1,0,0,0,1,2008
Gearbox Software,15390,2008-10-08,Brothers in Arms: Hell's Highway™,1,0,0,0,0,0,0,0,0,0,2008
Dark Castle Software,21300,2008-08-31,Gravitron 2,0,0,1,0,1,0,0,0,0,0,2008
Techland,3050,2006-12-01,Xpand Rally Xtreme,0,0,0,0,0,0,1,0,0,0,2006
Nival,15380,2006-11-14,Heroes of Might &amp; Magic V: Hammers of Fate,0,0,0,0,0,0,0,0,0,1,2006
Gearbox Software,19800,2005-10-04,Brothers in Arms: Earned in Blood™,1,0,0,0,0,0,0,0,0,0,2005
Nival,15370,2007-10-16,Heroes of Might &amp; Magic V: Tribes of the East,0,0,0,0,0,0,0,0,0,1,2007
Blue Byte,19930,2008-04-18,The Settlers®: Rise Of An Empire Gold Edition,0,0,0,0,0,0,0,0,0,1,2008
Ubisoft,15350,2007-09-25,Brain Spa,0,0,1,0,0,0,0,0,0,0,2007
Red Storm Entertainment,19810,2002-05-31,The Sum of All Fears,1,0,0,0,0,0,0,0,0,0,2002
"PopCap Games, Inc.",3540,2008-10-15,Peggle™ Nights,0,0,1,0,0,0,0,0,0,0,2008
2D BOY,22000,2008-10-13,World of Goo,0,0,0,0,1,0,0,0,0,0,2008
Egosoft,2820,2008-10-16,X3: Terran Conflict,1,0,0,0,0,0,0,1,0,1,2008
Sandstorm Productions,1230,2008-10-17,Mare Nostrum,1,0,0,0,0,0,0,0,0,0,2008
Shorebound Studios,18300,2008-10-20,Spectraball,0,0,1,0,1,0,0,0,0,0,2008
Perpetual FX Creative,20200,2008-10-21,Galactic Bowling,0,0,1,0,1,0,0,0,1,0,2008
Rockstar New England,12200,2008-10-21,Bully: Scholarship Edition,1,1,0,0,0,0,0,0,0,0,2008
Ubisoft Montreal,19900,2008-10-22,Far Cry® 2: Fortune's Edition,1,0,0,0,0,0,0,0,0,0,2008
Meridian4,11240,2008-10-23,Space Trader: Merchant Marine,1,0,0,0,1,0,0,0,0,1,2008
RailSimulator.com,256522,2009-01-01,PRR Wagon Pack 01,0,0,0,0,0,0,0,1,0,0,2009
RailSimulator.com,275144,2009-01-01,"Class 421 London South East ""Jaffa Cake""",0,0,0,0,0,0,0,1,0,0,2009
RailSimulator.com,256521,2009-01-01,ATSF Wagon Pack 01,0,0,0,0,0,0,0,1,0,0,2009
Reppo,222569,2009-01-01,GP20 Union Pacific Add-on Livery,0,0,0,0,0,0,0,1,0,0,2009
RailSimulator.com,256535,2009-01-01,UK Van Wagon Pack,0,0,0,0,0,0,0,1,0,0,2009
Dovetail Games,256611,2009-01-01,CSX SD70MAC Add-on Livery,0,0,0,0,0,0,0,1,0,0,2009
Dovetail Games,256576,2009-01-01,CSX ES44AC Add-on Livery,0,0,0,0,0,0,0,1,0,0,2009
Volition,9480,2009-01-28,Saints Row 2,1,0,0,0,0,0,0,0,0,0,2009
EA Redwood Shores,17470,2008-10-20,Dead Space,1,0,0,0,0,0,0,0,0,0,2008
Liquid Entertainment,12770,2008-12-16,Rise of the Argonauts,0,0,0,0,0,1,0,0,0,0,2008
DICE,17410,2009-01-13,Mirror's Edge™,1,1,0,0,0,0,0,0,0,0,2009
Hidden Path Entertainment,18500,2008-12-08,Defense Grid: The Awakening,0,0,0,0,1,0,0,0,0,1,2008
Monolith,16450,2009-02-12,F.E.A.R. 2: Project Origin,1,0,0,0,0,0,0,0,0,0,2009
Oxeye Game Studio,15400,2008-03-05,Harvest: Massive Encounter,0,0,0,0,1,0,0,0,0,1,2008
Inventive Dingo,18600,2007-07-04,Mayhem Intergalactic,0,0,0,0,1,0,0,0,0,1,2007
Meridian4,11340,2009-03-19,Larva Mortus,1,0,0,0,1,0,0,0,0,0,2009
Black Sea Studios Ltd,25830,2005-05-10,Knights of Honor,0,0,0,0,0,0,0,0,0,1,2005
Realmforge Studios,23460,2009-02-27,Ceville,1,1,0,0,0,0,0,0,0,1,2009
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",10600,2009-03-04,Empire: Total War™ - Special Forces Units &amp; Bonus Content,0,0,0,0,0,0,0,0,0,1,2009
Deadline Games,21010,2009-03-04,Watchmen: The End is Nigh,1,0,0,0,0,0,0,0,0,0,2009
Frictional Games,22180,2007-03-30,Penumbra Overture,1,1,0,0,1,0,0,0,0,0,2007
"Epic Games, Inc.",13210,2007-11-19,Unreal Tournament 3 Black,1,0,0,0,0,0,0,0,0,0,2007
Radon Labs,12640,2009-02-27,Drakensang,0,0,0,0,0,1,0,0,0,0,2009
Certain Affinity™,21600,2009-03-09,Age of Booty™,0,0,1,0,0,0,0,0,0,1,2009
Tale of Tales,27020,2008-03-21,The Graveyard,0,0,0,0,1,0,0,1,0,0,2008
Criterion Games,24740,2009-02-03,Burnout Paradise: The Ultimate Box,0,0,0,0,0,0,1,0,0,0,2009
Zombie Master Team,90047,2009-03-11,Zombie Master,1,0,0,0,0,0,0,0,0,0,2009
Twisted Pixel Games,26000,2009-03-09,The Maw,1,0,0,0,1,0,0,0,0,0,2009
Twisted Pixel Games,26006,2009-03-16,The Maw: River Redirect,1,0,0,0,1,0,0,0,0,0,2009
Twisted Pixel Games,26005,2009-03-16,The Maw: Brute Force,1,0,0,0,1,0,0,0,0,0,2009
IonFX,11330,2009-03-19,Obulis,0,0,1,0,1,0,0,0,0,0,2009
Llamasoft LTD,27800,2009-03-19,Space Giraffe,0,0,0,0,1,0,0,0,0,0,2009
"InnoGlow,Stormregion,THQ Nordic",9850,2009-03-10,Codename: Panzers - Cold War,0,0,0,0,0,0,0,1,0,1,2009
SpinTop Games,3600,2009-04-15,Escape Rosecliff Island,0,0,1,0,0,0,0,0,0,0,2009
ArenaNet®,29580,2006-10-27,Guild Wars Nightfall®,0,0,0,0,0,1,0,0,0,0,2006
ArenaNet®,29540,2005-04-28,Guild Wars® Game of the Year Edition,0,0,0,0,0,1,0,0,0,0,2005
ArenaNet®,29560,2006-04-28,Guild Wars Factions®,0,0,0,0,0,1,0,0,0,0,2006
ArenaNet®,29570,2008-09-25,Guild Wars Trilogy,0,0,0,0,0,1,0,0,0,0,2008
Infinite Interactive,23700,2009-04-16,Puzzle Kingdoms,0,0,1,0,0,0,0,0,0,0,2009
MumboJumbo,16060,2009-04-29,Samantha Swift and the Golden Touch,0,0,1,0,0,0,0,0,0,0,2009
Reality Pump Studios,1930,2009-04-30,Two Worlds Epic Edition,0,0,0,0,0,1,0,0,0,0,2009
Spellbound,18470,2009-04-30,Helldorado,0,0,0,0,0,0,0,0,0,1,2009
Gaijin Entertainment,7510,2009-02-10,X-Blades,1,1,0,0,0,1,0,0,0,0,2009
ACE Team,22200,2009-04-21,Zeno Clash,1,0,0,0,1,0,0,0,0,0,2009
Twisted Pixel Games,26007,2009-04-29,The Maw: Speeder Lane,0,0,0,0,1,0,0,0,0,0,2009
1C Company,25900,2008-09-23,King's Bounty: The Legend,0,0,0,0,0,1,0,0,0,1,2008
Last Day of Work,16200,2009-05-06,Virtual Families,0,0,1,0,0,0,0,1,0,0,2009
Sky Fallen,7840,2009-05-06,Death Track®: Resurrection,0,0,0,0,0,0,1,0,0,0,2009
Irrational Games,8890,2005-03-08,Freedom Force vs. the Third Reich,0,0,0,0,0,1,0,0,0,1,2005
Irrational Games,8880,2002-03-26,Freedom Force,0,0,0,0,0,1,0,0,0,1,2002
SaintXi,34500,2009-06-04,Light of Altair,0,0,0,0,1,0,0,1,0,1,2009
Darklight Games,1280,2009-06-09,Darkest Hour: Europe '44-'45,1,0,0,0,0,0,0,1,0,0,2009
Radical Entertainment,10150,2009-06-10,Prototype™,1,1,0,0,0,0,0,0,0,0,2009
Ascaron Entertainment ltd.,12470,2004-04-30,Port Royale 2,0,0,0,0,0,0,0,0,0,1,2004
Bethesda Game Studios,22330,2007-09-11,The Elder Scrolls IV: Oblivion® Game of the Year Edition,0,0,0,0,0,1,0,0,0,0,2007
Bethesda Game Studios,22320,2002-04-29,The Elder Scrolls III: Morrowind® Game of the Year Edition,0,0,0,0,0,1,0,0,0,0,2002
Deck 13,12440,2007-05-18,Ankh 2: Heart of Osiris,0,1,0,0,0,0,0,0,0,0,2007
NovaLogic,32710,1999-09-01,Armored Fist 3,0,0,0,0,0,0,0,1,0,0,1999
NovaLogic,32740,1998-09-07,MiG-29 Fulcrum,0,0,0,0,0,0,0,1,0,0,1998
Mascot Entertainment,12460,2008-09-15,BC Kings,0,0,0,0,0,0,0,0,0,1,2008
Techland,21980,2009-06-30,Call of Juarez®: Bound in Blood,1,0,0,0,0,0,0,0,0,0,2009
HeR Interactive,31860,2007-10-01,Nancy Drew®: Legend of the Crystal Skull,0,1,0,0,0,0,0,0,0,0,2007
HeR Interactive,31900,2006-10-01,Nancy Drew®: The Creature of Kapu Cave,0,1,0,0,0,0,0,0,0,0,2006
HeR Interactive,31920,2008-07-01,Nancy Drew®: The Phantom of Venice,0,1,0,0,0,0,0,0,0,0,2008
HeR Interactive,31930,2007-07-01,Nancy Drew®: The White Wolf of Icicle Creek,0,1,0,0,0,0,0,0,0,0,2007
Digital Eel,35800,2008-12-24,BRAINPIPE: A Plunge to Unhumanity,0,0,1,0,1,0,0,0,0,0,2008
Telltale Games,31170,2009-07-07,Tales of Monkey Island Complete Pack,0,1,0,0,0,0,0,0,0,0,2009
Capcom,21660,2009-07-07,Street Fighter® IV,1,0,0,0,0,0,0,0,0,0,2009
Frontier,6080,2007-10-09,Thrillville®: Off the Rails™,1,1,0,0,0,0,1,1,0,1,2007
LucasArts,6010,1992-06-01,Indiana Jones® and the Fate of Atlantis™,0,1,0,0,0,0,0,0,0,0,1992
Planet Moon Studios,6090,2003-12-02,Armed and Dangerous®,1,0,0,0,0,0,0,0,0,0,2003
Pandemic Studios,6060,2005-11-01,"Star Wars: Battlefront 2 (Classic, 2005)",1,0,0,0,0,0,0,0,0,0,2005
LucasArts,32310,1989-07-01,Indiana Jones® and the Last Crusade™,0,1,0,0,0,0,0,0,0,0,1989
